x,y,z
3.0933335,-0.59868985,-4.058694
3.0666668,-0.61333334,-4.0350947
3.1733334,-0.62729466,-4.0449977
3.1466668,-0.61265117,-4.061002
2.7194817,-0.0765576,-4.080559
2.743792,-0.0765576,-4.107226
2.770459,-0.05575204,-4.133333
2.7733333,-0.040986322,-4.1066666
2.8280501,-0.011900954,-4.1066666
2.810484,-0.017762057,-4.133333
3.10341,-0.014234943,-4.0901318
3.1855822,-0.060928814,-4.1206717
3.1589158,-0.048497096,-4.1066666
3.1684036,-0.021830425,-4.133333
3.141737,-0.014234943,-4.1167984
2.7194817,-0.08078902,-4.080559
2.796193,-0.14434019,-4.1174664
2.7695262,-0.11846254,-4.1066666
2.770459,-0.09179586,-4.133333
2.743792,-0.08078902,-4.107226
2.8087845,-0.14434019,-4.144133
3.1849542,-0.13333334,-4.1054087
3.1705365,-0.10666667,-4.094005
2.5734382,-0.22731647,-4.133841
2.796656,-0.21333334,-4.0947833
2.7928483,-0.18666668,-4.0907993
2.8256807,-0.18666668,-4.144133
2.8168962,-0.21333334,-4.12145
3.1891742,-0.21333334,-4.0997944
3.1741283,-0.18666668,-4.0914035
2.6001048,-0.24967901,-4.133841
2.5866668,-0.25029692,-4.107174
2.6133335,-0.26418492,-4.1066666
2.7099624,-0.31204236,-4.122834
2.6832957,-0.2992636,-4.1066666
2.6666667,-0.28227597,-4.133333
2.746667,-0.30754164,-4.1495013
2.7733333,-0.3154993,-4.141756
2.796656,-0.24697271,-4.0839844
2.8168962,-0.24697271,-4.110651
2.843563,-0.2644672,-4.133333
2.8400323,-0.29113388,-4.1066666
2.8666987,-0.31082785,-4.123188
2.8106964,-0.3154993,-4.1522555
2.8870833,-0.31082785,-4.1498547
3.1795578,-0.29333332,-4.1087337
3.1687317,-0.26666668,-4.088391
2.793706,-0.36409572,-4.1522555
2.7670395,-0.37333336,-4.138219
2.746667,-0.34666666,-4.1277194
2.8666987,-0.33546868,-4.0965214
2.8656323,-0.3921833,-4.153061
2.8106964,-0.33742905,-4.1522555
2.8870833,-0.3655166,-4.153061
2.8953338,-0.37333336,-4.126394
2.8870833,-0.33546868,-4.123188
2.8953338,-0.36213532,-4.1066666
3.0248394,-0.38496792,-4.0921226
3.054062,-0.38496792,-4.1187897
3.0807283,-0.37087372,-4.133333
3.0933335,-0.35044754,-4.1066666
2.7670395,-0.4030005,-4.1459637
2.746667,-0.42211097,-4.1192966
2.7733333,-0.42491785,-4.1066666
2.8656323,-0.4154729,-4.126394
2.8389657,-0.41847342,-4.133333
2.8266668,-0.42128026,-4.1066666
2.8882506,-0.4154729,-4.099727
3.0322125,-0.45333335,-4.1009774
3.0170517,-0.42666668,-4.0921226
3.0807283,-0.4240219,-4.1454563
3.0933335,-0.45068857,-4.1417637
3.0666668,-0.45333335,-4.123952
2.7208447,-0.5557623,-4.0824995
3.0322125,-0.50053203,-4.088855
3.045937,-0.52719873,-4.088855
3.0726037,-0.53333336,-4.100512
3.0933335,-0.50666666,-4.123486
3.1531048,-0.5031692,-4.156307
3.1733334,-0.5298359,-4.1471686
3.1466668,-0.53333336,-4.132159
3.0992706,-0.57202315,-4.091657
3.1466668,-0.58598447,-4.091657
3.1733334,-0.5739613,-4.109185
2.7985337,-0.046274994,-4.213333
2.795659,-0.05919444,-4.186667
2.8269684,-0.0058611026,-4.186667
2.8164842,-0.01960833,-4.213333
3.19507,-0.0075954827,-4.1635556
2.795659,-0.08203926,-4.213333
2.7971256,-0.09304611,-4.186667
2.8087845,-0.11971278,-4.186667
2.8303478,-0.1353726,-4.213333
2.5734382,-0.2270198,-4.186667
2.573872,-0.23970334,-4.213333
2.8702297,-0.2371878,-4.2116885
2.8651266,-0.21052112,-4.213333
2.8472443,-0.18666668,-4.186667
2.881264,-0.2371878,-4.238355
2.600539,-0.25033337,-4.213333
2.6267715,-0.2600124,-4.186667
2.6933334,-0.28390136,-4.186667
2.6666667,-0.27552578,-4.213333
2.7726564,-0.30884668,-4.238137
2.7733333,-0.304346,-4.21147
2.746667,-0.29638833,-4.186667
2.8702297,-0.2574945,-4.185022
2.8106964,-0.3154993,-4.1848035
2.8614655,-0.30726013,-4.2372565
2.881264,-0.28059345,-4.2372565
2.8883471,-0.29333332,-4.21059
2.881264,-0.2574945,-4.2116885
2.8883471,-0.28416118,-4.186667
2.8347986,-0.32098728,-4.2372565
2.8266668,-0.34765396,-4.2162805
2.8533335,-0.3655166,-4.1896133
2.8389657,-0.3921833,-4.1656904
2.8106964,-0.33742905,-4.1848035
2.8870833,-0.33884993,-4.1839232
3.0326922,-0.39317268,-4.234498
